Id,Id2,Geography,Pop,Moe
1400000US35001004746,35001004746,"Census Tract 47.46, Bernalillo County, New Mexico",8054,583
1400000US35001004747,35001004747,"Census Tract 47.47, Bernalillo County, New Mexico",5189,487
1400000US35001004748,35001004748,"Census Tract 47.48, Bernalillo County, New Mexico",9612,569
1400000US35001004749,35001004749,"Census Tract 47.49, Bernalillo County, New Mexico",4756,478
1400000US35001004750,35001004750,"Census Tract 47.50, Bernalillo County, New Mexico",6310,443
1400000US35001004751,35001004751,"Census Tract 47.51, Bernalillo County, New Mexico",2642,211
1400000US35001004752,35001004752,"Census Tract 47.52, Bernalillo County, New Mexico",3872,411
1400000US35001004753,35001004753,"Census Tract 47.53, Bernalillo County, New Mexico",3919,274
1400000US35001940500,35001940500,"Census Tract 9405, Bernalillo County, New Mexico",3016,211
1400000US35001940600,35001940600,"Census Tract 9406, Bernalillo County, New Mexico",9415,1310
1400000US35001940700,35001940700,"Census Tract 9407, Bernalillo County, New Mexico",2776,365
1400000US35003976400,35003976400,"Census Tract 9764, Catron County, New Mexico",3651,*****
1400000US35005000201,35005000201,"Census Tract 2.01, Chaves County, New Mexico",3955,448
1400000US35005000202,35005000202,"Census Tract 2.02, Chaves County, New Mexico",3729,341
1400000US35005000300,35005000300,"Census Tract 3, Chaves County, New Mexico",6285,706
1400000US35005000400,35005000400,"Census Tract 4, Chaves County, New Mexico",4301,407
1400000US35005000500,35005000500,"Census Tract 5, Chaves County, New Mexico",1830,219
1400000US35005000600,35005000600,"Census Tract 6, Chaves County, New Mexico",5188,503
1400000US35005000700,35005000700,"Census Tract 7, Chaves County, New Mexico",4573,372
1400000US35005000800,35005000800,"Census Tract 8, Chaves County, New Mexico",5923,683
1400000US35005000900,35005000900,"Census Tract 9, Chaves County, New Mexico",3141,356
1400000US35005001001,35005001001,"Census Tract 10.01, Chaves County, New Mexico",4883,385
1400000US35005001002,35005001002,"Census Tract 10.02, Chaves County, New Mexico",4309,430
1400000US35005001101,35005001101,"Census Tract 11.01, Chaves County, New Mexico",6186,910
1400000US35005001102,35005001102,"Census Tract 11.02, Chaves County, New Mexico",3992,436
1400000US35005001200,35005001200,"Census Tract 12, Chaves County, New Mexico",1324,239
1400000US35005001300,35005001300,"Census Tract 13, Chaves County, New Mexico",3252,437
1400000US35005001400,35005001400,"Census Tract 14, Chaves County, New Mexico",2979,294
1400000US35006941500,35006941500,"Census Tract 9415, Cibola County, New Mexico",3195,327
1400000US35006945800,35006945800,"Census Tract 9458, Cibola County, New Mexico",1876,237
1400000US35006946100,35006946100,"Census Tract 9461, Cibola County, New Mexico",4021,407
1400000US35006974201,35006974201,"Census Tract 9742.01, Cibola County, New Mexico",4594,506
1400000US35006974202,35006974202,"Census Tract 9742.02, Cibola County, New Mexico",3493,426
1400000US35006974400,35006974400,"Census Tract 9744, Cibola County, New Mexico",3706,502
1400000US35006974700,35006974700,"Census Tract 9747, Cibola County, New Mexico",6507,513
1400000US35007950500,35007950500,"Census Tract 9505, Colfax County, New Mexico",3940,374
1400000US35007950600,35007950600,"Census Tract 9506, Colfax County, New Mexico",3549,323
1400000US35007950700,35007950700,"Census Tract 9507, Colfax County, New Mexico",5775,254
1400000US35009000100,35009000100,"Census Tract 1, Curry County, New Mexico",5004,582
1400000US35009000201,35009000201,"Census Tract 2.01, Curry County, New Mexico",4433,423
1400000US35009000202,35009000202,"Census Tract 2.02, Curry County, New Mexico",4144,528
1400000US35009000301,35009000301,"Census Tract 3.01, Curry County, New Mexico",5926,597
1400000US35009000303,35009000303,"Census Tract 3.03, Curry County, New Mexico",3627,359
1400000US35009000304,35009000304,"Census Tract 3.04, Curry County, New Mexico",7162,567
1400000US35009000400,35009000400,"Census Tract 4, Curry County, New Mexico",4459,590
1400000US35009000500,35009000500,"Census Tract 5, Curry County, New Mexico",2527,302
1400000US35009000601,35009000601,"Census Tract 6.01, Curry County, New Mexico",1197,132
1400000US35009000602,35009000602,"Census Tract 6.02, Curry County, New Mexico",4772,366
1400000US35009000603,35009000603,"Census Tract 6.03, Curry County, New Mexico",4331,299
1400000US35009000900,35009000900,"Census Tract 9, Curry County, New Mexico",2591,250
1400000US35011960100,35011960100,"Census Tract 9601, De Baca County, New Mexico",1967,112
1400000US35013000102,35013000102,"Census Tract 1.02, Do–a Ana County, New Mexico",4008,350
1400000US35013000103,35013000103,"Census Tract 1.03, Do–a Ana County, New Mexico",5262,686
1400000US35013000104,35013000104,"Census Tract 1.04, Do–a Ana County, New Mexico",5080,544
1400000US35013000201,35013000201,"Census Tract 2.01, Do–a Ana County, New Mexico",6085,610
1400000US35013000202,35013000202,"Census Tract 2.02, Do–a Ana County, New Mexico",6010,733
1400000US35013000300,35013000300,"Census Tract 3, Do–a Ana County, New Mexico",4053,340
1400000US35013000401,35013000401,"Census Tract 4.01, Do–a Ana County, New Mexico",2942,369
1400000US35013000402,35013000402,"Census Tract 4.02, Do–a Ana County, New Mexico",5781,565
1400000US35013000500,35013000500,"Census Tract 5, Do–a Ana County, New Mexico",2470,243
1400000US35013000600,35013000600,"Census Tract 6, Do–a Ana County, New Mexico",2496,343
1400000US35013000700,35013000700,"Census Tract 7, Do–a Ana County, New Mexico",5603,538
1400000US35013000800,35013000800,"Census Tract 8, Do–a Ana County, New Mexico",3459,502
1400000US35013000900,35013000900,"Census Tract 9, Do–a Ana County, New Mexico",7064,692
1400000US35013001000,35013001000,"Census Tract 10, Do–a Ana County, New Mexico",3470,573
1400000US35013001102,35013001102,"Census Tract 11.02, Do–a Ana County, New Mexico",3133,384
1400000US35013001103,35013001103,"Census Tract 11.03, Do–a Ana County, New Mexico",4541,544
1400000US35013001104,35013001104,"Census Tract 11.04, Do–a Ana County, New Mexico",5590,583
1400000US35013001201,35013001201,"Census Tract 12.01, Do–a Ana County, New Mexico",15258,1142
1400000US35013001203,35013001203,"Census Tract 12.03, Do–a Ana County, New Mexico",4788,521
1400000US35013001204,35013001204,"Census Tract 12.04, Do–a Ana County, New Mexico",3825,336
1400000US35013001205,35013001205,"Census Tract 12.05, Do–a Ana County, New Mexico",4671,510
1400000US35013001303,35013001303,"Census Tract 13.03, Do–a Ana County, New Mexico",7920,567
1400000US35013001304,35013001304,"Census Tract 13.04, Do–a Ana County, New Mexico",7246,763
1400000US35013001305,35013001305,"Census Tract 13.05, Do–a Ana County, New Mexico",5131,575
1400000US35013001306,35013001306,"Census Tract 13.06, Do–a Ana County, New Mexico",10072,808
1400000US35013001307,35013001307,"Census Tract 13.07, Do–a Ana County, New Mexico",7127,864
1400000US35013001400,35013001400,"Census Tract 14, Do–a Ana County, New Mexico",4778,666
1400000US35013001500,35013001500,"Census Tract 15, Do–a Ana County, New Mexico",6206,502
1400000US35013001600,35013001600,"Census Tract 16, Do–a Ana County, New Mexico",3372,403
1400000US35013001701,35013001701,"Census Tract 17.01, Do–a Ana County, New Mexico",6941,571
1400000US35013001702,35013001702,"Census Tract 17.02, Do–a Ana County, New Mexico",1828,267
1400000US35013001703,35013001703,"Census Tract 17.03, Do–a Ana County, New Mexico",3179,469
1400000US35013001705,35013001705,"Census Tract 17.05, Do–a Ana County, New Mexico",3314,434
1400000US35013001706,35013001706,"Census Tract 17.06, Do–a Ana County, New Mexico",3660,380
1400000US35013001707,35013001707,"Census Tract 17.07, Do–a Ana County, New Mexico",5695,510
1400000US35013001801,35013001801,"Census Tract 18.01, Do–a Ana County, New Mexico",5876,817
1400000US35013001802,35013001802,"Census Tract 18.02, Do–a Ana County, New Mexico",7022,675
1400000US35013001804,35013001804,"Census Tract 18.04, Do–a Ana County, New Mexico",6724,856
1400000US35013001805,35013001805,"Census Tract 18.05, Do–a Ana County, New Mexico",3190,450
1400000US35013001806,35013001806,"Census Tract 18.06, Do–a Ana County, New Mexico",6402,448
1400000US35013001900,35013001900,"Census Tract 19, Do–a Ana County, New Mexico",1670,287
1400000US35015000100,35015000100,"Census Tract 1, Eddy County, New Mexico",1695,294
